title,audience_certified,audience_score,audience_sentiment,critics_certified,critics_score,critics_sentiment
Satisfied,,,,false,100%,positive
Roads of Fire,,,,false,,
A Writer's Odyssey 2,,,,false,,
The Smashing Machine,,,,true,76%,positive
Anemone,,,,false,62%,positive
Bone Lake,,,,false,94%,positive
Good Boy,,,,false,93%,positive
Avatar: The Way of Water,true,92%,positive,true,76%,positive
Casper,false,50%,negative,false,60%,positive
Taylor Swift | The Official Release Party of a Showgirl,,,,false,,
Coyotes,,,,false,74%,positive
Killing Faith,,,,false,,
Scared Shitless,,,,false,92%,positive
The Librarians,,,,false,95%,positive
Shell,,,,false,50%,negative
She Loved Blossoms More,,,,false,86%,positive
Are We Good?,,,,false,92%,positive
Perfect Blue,false,89%,positive,true,84%,positive
Orwell: 2 + 2 = 5,,,,false,80%,positive
Scurry,,,,false,,
The Partisan,,,,false,,
Ju Dou,false,88%,positive,false,100%,positive
One Big Happy Family,,,,false,,
The Ice Tower,,,,false,79%,positive
The Road Between Us: The Ultimate Rescue,,,,false,,
Soul of a Nation,,,,false,,
The French Italian,,,,false,56%,negative
The Alabama Solution,,,,false,,
